5420	10
5410	12
5390	13
5330	18
5290	21
5230	28
5190	36
5180	70
5135	112
5110	155
5095	157
5080	163
5040	186
5030	192
5010	216
4990	243
4955	246
4940	251
4890	264
4840	271
4805	294
4765	304
4745	320
4740	327
4720	328
4710	394
4690	412
4670	426
4620	462
4580	470
4540	481
4525	514
4485	517
4475	551
4450	600
4410	644
4400	649
4390	751
4350	754
4335	801
4285	813
4275	844
4265	869
4260	881
4220	913
4215	1022
4200	1134
4195	1168
4170	1180
4140	1185
4135	1198
4130	1266
4120	1306
4100	1380
4085	1411
4075	1431
4060	1437
4020	1480
4010	1492
4000	1609
3995	1611
3950	1624
3940	1809
3925	1871
3910	1881
3905	1981
3895	2048
3885	2059
3860	2072
3850	2448
3835	2626
3800	2771
3790	3057
3780	3288
3755	3564
3745	3958
3705	3977
3685	4316
3675	4391
3665	4471
3650	4532
3640	5332
3630	5429
3590	5794
3580	5829
3575	6446
3535	6528
3525	7081
3495	7084
3490	7106
3480	7445
3470	7802
3455	8593
3445	9069
3425	9523
3370	10542
3360	11285
3350	17145
3340	18874
3330	49586
